{'loss': 0.4200286567211151, 'total-trian_loss': 0.4200286567211151, 'total-train-accuracy': 0.847470223903656, 'bla-recall': 0.791540801525116, 'lyt-recall': 0.8939849734306335, 'ngb-recall': 0.41584157943725586, 'ngs-recall': 0.9127035737037659, 'bla-precision': 0.8791946172714233, 'lyt-precision': 0.8980362415313721, 'ngb-precision': 0.7266436219215393, 'ngs-precision': 0.8584558963775635} 
{'loss': 0.41896745562553406, 'total-trian_loss': 0.41896745562553406, 'total-train-accuracy': 0.8482824563980103, 'bla-recall': 0.7900874614715576, 'lyt-recall': 0.8960288763046265, 'ngb-recall': 0.4228571355342865, 'ngs-recall': 0.9097744226455688, 'bla-precision': 0.8813008069992065, 'lyt-precision': 0.8979739546775818, 'ngb-precision': 0.7278688549995422, 'ngs-precision': 0.8586634993553162} 
{'loss': 0.4182635545730591, 'total-trian_loss': 0.4182635545730591, 'total-train-accuracy': 0.8485753536224365, 'bla-recall': 0.7937411069869995, 'lyt-recall': 0.8966230154037476, 'ngb-recall': 0.426763117313385, 'ngs-recall': 0.9088146090507507, 'bla-precision': 0.8773584961891174, 'lyt-precision': 0.9015939235687256, 'ngb-precision': 0.737500011920929, 'ngs-precision': 0.856733500957489} 
{'loss': 0.42016634345054626, 'total-trian_loss': 0.42016634345054626, 'total-train-accuracy': 0.847517728805542, 'bla-recall': 0.793433666229248, 'lyt-recall': 0.8958194851875305, 'ngb-recall': 0.4258289635181427, 'ngs-recall': 0.9077013731002808, 'bla-precision': 0.8761329054832458, 'lyt-precision': 0.901201605796814, 'ngb-precision': 0.7305389046669006, 'ngs-precision': 0.8563505411148071} 
{'loss': 0.4224730134010315, 'total-trian_loss': 0.4224730134010315, 'total-train-accuracy': 0.8463184833526611, 'bla-recall': 0.7883597612380981, 'lyt-recall': 0.8976327776908875, 'ngb-recall': 0.4208754301071167, 'ngs-recall': 0.9079022407531738, 'bla-precision': 0.8751835823059082, 'lyt-precision': 0.8976327776908875, 'ngb-precision': 0.728863000869751, 'ngs-precision': 0.8558413982391357} 
{'loss': 0.4211447834968567, 'total-trian_loss': 0.4211447834968567, 'total-train-accuracy': 0.8464403748512268, 'bla-recall': 0.7842377424240112, 'lyt-recall': 0.8991389870643616, 'ngb-recall': 0.41693809628486633, 'ngs-recall': 0.9097909927368164, 'bla-precision': 0.8746397495269775, 'lyt-precision': 0.898034393787384, 'ngb-precision': 0.7293447256088257, 'ngs-precision': 0.8552223443984985} 
{'loss': 0.4245748221874237, 'total-trian_loss': 0.4245748221874237, 'total-train-accuracy': 0.8435496687889099, 'bla-recall': 0.7833125591278076, 'lyt-recall': 0.89952152967453, 'ngb-recall': 0.4123076796531677, 'ngs-recall': 0.9084092378616333, 'bla-precision': 0.8772664070129395, 'lyt-precision': 0.8957712650299072, 'ngb-precision': 0.7262872457504272, 'ngs-precision': 0.848848819732666} 
{'loss': 0.42513734102249146, 'total-trian_loss': 0.42513734102249146, 'total-train-accuracy': 0.8425853848457336, 'bla-recall': 0.7823458313941956, 'lyt-recall': 0.8984329700469971, 'ngb-recall': 0.4247787594795227, 'ngs-recall': 0.9038461446762085, 'bla-precision': 0.8743243217468262, 'lyt-precision': 0.8958333134651184, 'ngb-precision': 0.7218044996261597, 'ngs-precision': 0.8487066626548767} 
{'loss': 0.4258912205696106, 'total-trian_loss': 0.4258912205696106, 'total-train-accuracy': 0.8414909839630127, 'bla-recall': 0.7802585363388062, 'lyt-recall': 0.8980392217636108, 'ngb-recall': 0.4312320947647095, 'ngs-recall': 0.899898886680603, 'bla-precision': 0.8736842274665833, 'lyt-precision': 0.896532416343689, 'ngb-precision': 0.7132701277732849, 'ngs-precision': 0.8496419787406921} 
{'loss': 0.42480704188346863, 'total-trian_loss': 0.42480704188346863, 'total-train-accuracy': 0.8424707651138306, 'bla-recall': 0.7829545736312866, 'lyt-recall': 0.8996201753616333, 'ngb-recall': 0.4297635555267334, 'ngs-recall': 0.9014778137207031, 'bla-precision': 0.8754764795303345, 'lyt-precision': 0.8976718783378601, 'ngb-precision': 0.7169373631477356, 'ngs-precision': 0.8480074405670166} 
{'loss': 0.42522162199020386, 'total-trian_loss': 0.42522162199020386, 'total-train-accuracy': 0.8428621888160706, 'bla-recall': 0.7808369994163513, 'lyt-recall': 0.9015271067619324, 'ngb-recall': 0.4283783733844757, 'ngs-recall': 0.9035971164703369, 'bla-precision': 0.8774752616882324, 'lyt-precision': 0.8953974843025208, 'ngb-precision': 0.7220956683158875, 'ngs-precision': 0.8478847742080688} 
{'loss': 0.4237883388996124, 'total-trian_loss': 0.4237883388996124, 'total-train-accuracy': 0.8435773253440857, 'bla-recall': 0.7831196784973145, 'lyt-recall': 0.9010204076766968, 'ngb-recall': 0.42913907766342163, 'ngs-recall': 0.9042503237724304, 'bla-precision': 0.8788968920707703, 'lyt-precision': 0.895991861820221, 'ngb-precision': 0.7200000286102295, 'ngs-precision': 0.848378598690033} 
{'loss': 0.4236430525779724, 'total-trian_loss': 0.4236430525779724, 'total-train-accuracy': 0.8442540168762207, 'bla-recall': 0.784518837928772, 'lyt-recall': 0.9020874500274658, 'ngb-recall': 0.4315245449542999, 'ngs-recall': 0.9027149081230164, 'bla-precision': 0.8782201409339905, 'lyt-precision': 0.89673912525177, 'ngb-precision': 0.7198275923728943, 'ngs-precision': 0.8503836393356323} 
