{'loss': 0.44592249393463135, 'total-trian_loss': 0.44592249393463135, 'total-train-accuracy': 0.875, 'bla-recall': 0.8181818127632141, 'lyt-recall': 1.0, 'ngb-recall': 0.5, 'ngs-recall': 0.875, 'bla-precision': 1.0, 'lyt-precision': 0.8999999761581421, 'ngb-precision': 0.6666666865348816, 'ngs-precision': 0.7777777910232544} 
{'loss': 0.3262808918952942, 'total-trian_loss': 0.3262808918952942, 'total-train-accuracy': 0.8775684833526611, 'bla-recall': 0.8299418687820435, 'lyt-recall': 0.9364197254180908, 'ngb-recall': 0.6318492889404297, 'ngs-recall': 0.882022500038147, 'bla-precision': 0.9165329337120056, 'lyt-precision': 0.9289650917053223, 'ngb-precision': 0.674588680267334, 'ngs-precision': 0.9069901704788208} 
{'loss': 0.3257298469543457, 'total-trian_loss': 0.3257298469543457, 'total-train-accuracy': 0.877897322177887, 'bla-recall': 0.8312413096427917, 'lyt-recall': 0.9343675374984741, 'ngb-recall': 0.6413223147392273, 'ngs-recall': 0.8816794157028198, 'bla-precision': 0.9127105474472046, 'lyt-precision': 0.9282750487327576, 'ngb-precision': 0.6783216595649719, 'ngs-precision': 0.9084269404411316} 
{'loss': 0.32661738991737366, 'total-trian_loss': 0.32661738991737366, 'total-train-accuracy': 0.8776041865348816, 'bla-recall': 0.8335588574409485, 'lyt-recall': 0.9345686435699463, 'ngb-recall': 0.6367924809455872, 'ngs-recall': 0.882539689540863, 'bla-precision': 0.9098966121673584, 'lyt-precision': 0.9291882514953613, 'ngb-precision': 0.6829679608345032, 'ngs-precision': 0.9070146679878235} 
{'loss': 0.32702240347862244, 'total-trian_loss': 0.32702240347862244, 'total-train-accuracy': 0.8782997131347656, 'bla-recall': 0.8355262875556946, 'lyt-recall': 0.9342696666717529, 'ngb-recall': 0.6418816447257996, 'ngs-recall': 0.8832565546035767, 'bla-precision': 0.9097421169281006, 'lyt-precision': 0.9300894737243652, 'ngb-precision': 0.6844660043716431, 'ngs-precision': 0.9088514447212219} 
{'loss': 0.3250342309474945, 'total-trian_loss': 0.3250342309474945, 'total-train-accuracy': 0.8783885836601257, 'bla-recall': 0.8303341865539551, 'lyt-recall': 0.933946967124939, 'ngb-recall': 0.6450662612915039, 'ngs-recall': 0.8844621777534485, 'bla-precision': 0.9073033928871155, 'lyt-precision': 0.9289175868034363, 'ngb-precision': 0.6875981092453003, 'ngs-precision': 0.9093701839447021} 
{'loss': 0.326792448759079, 'total-trian_loss': 0.326792448759079, 'total-train-accuracy': 0.8777412176132202, 'bla-recall': 0.8275862336158752, 'lyt-recall': 0.934036910533905, 'ngb-recall': 0.6433666348457336, 'ngs-recall': 0.8846899271011353, 'bla-precision': 0.9068825840950012, 'lyt-precision': 0.9271870255470276, 'ngb-precision': 0.6885496377944946, 'ngs-precision': 0.9084576964378357} 
{'loss': 0.3275358974933624, 'total-trian_loss': 0.3275358974933624, 'total-train-accuracy': 0.8778409361839294, 'bla-recall': 0.8259832859039307, 'lyt-recall': 0.933469831943512, 'ngb-recall': 0.6425591111183167, 'ngs-recall': 0.8849056363105774, 'bla-precision': 0.9046997427940369, 'lyt-precision': 0.9277721047401428, 'ngb-precision': 0.6875, 'ngs-precision': 0.9084745645523071} 
{'loss': 0.3289823532104492, 'total-trian_loss': 0.3289823532104492, 'total-train-accuracy': 0.8763812184333801, 'bla-recall': 0.8257309794425964, 'lyt-recall': 0.9320436716079712, 'ngb-recall': 0.6432432532310486, 'ngs-recall': 0.8830811381340027, 'bla-precision': 0.9005101919174194, 'lyt-precision': 0.9283596873283386, 'ngb-precision': 0.6809728145599365, 'ngs-precision': 0.9076343178749084} 
{'loss': 0.3288522958755493, 'total-trian_loss': 0.3288522958755493, 'total-train-accuracy': 0.8761760592460632, 'bla-recall': 0.8268348574638367, 'lyt-recall': 0.9320809245109558, 'ngb-recall': 0.6445623636245728, 'ngs-recall': 0.8813333511352539, 'bla-precision': 0.9001248478889465, 'lyt-precision': 0.9289486408233643, 'ngb-precision': 0.675000011920929, 'ngs-precision': 0.9092159271240234} 
{'loss': 0.32856279611587524, 'total-trian_loss': 0.32856279611587524, 'total-train-accuracy': 0.8761453032493591, 'bla-recall': 0.8275084495544434, 'lyt-recall': 0.9321160912513733, 'ngb-recall': 0.6465295553207397, 'ngs-recall': 0.880571186542511, 'bla-precision': 0.8973104953765869, 'lyt-precision': 0.9295051097869873, 'ngb-precision': 0.676075279712677, 'ngs-precision': 0.9097005128860474} 
{'loss': 0.328940749168396, 'total-trian_loss': 0.328940749168396, 'total-train-accuracy': 0.875956654548645, 'bla-recall': 0.825466513633728, 'lyt-recall': 0.932537853717804, 'ngb-recall': 0.6424999833106995, 'ngs-recall': 0.8824517130851746, 'bla-precision': 0.8984468579292297, 'lyt-precision': 0.9278538823127747, 'ngb-precision': 0.6789960265159607, 'ngs-precision': 0.9083837270736694} 
